run,label,chamber,category,n,frac
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch1,status_report,214,0.3313
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch1,commitment,27,0.0418
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch1,question,2,0.0031
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch1,directive,6,0.0093
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch1,request,2,0.0031
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch1,acknowledgment,1,0.0015
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch2,request,38,0.0413
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch2,question,34,0.037
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch2,status_report,395,0.4293
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch2,commitment,32,0.0348
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch2,directive,9,0.0098
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch2,acknowledgment,1,0.0011
new_exp_0_gemma_base/seed_1011,Gemma-E4B,?,commitment,13,0.0338
new_exp_0_gemma_base/seed_1011,Gemma-E4B,?,status_report,104,0.2701
new_exp_0_gemma_base/seed_1011,Gemma-E4B,?,request,6,0.0156
new_exp_0_gemma_base/seed_1011,Gemma-E4B,?,question,10,0.026
new_exp_0_gemma_base/seed_1011,Gemma-E4B,?,directive,8,0.0208
new_exp_0_gemma_base/seed_1011,Gemma-E4B,?,acknowledgment,4,0.0104
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch3,status_report,234,0.2623
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch3,commitment,21,0.0235
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch3,request,44,0.0493
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch3,question,84,0.0942
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch3,directive,25,0.028
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch4,status_report,317,0.4266
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch4,commitment,44,0.0592
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch4,question,16,0.0215
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch4,request,12,0.0162
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch4,acknowledgment,2,0.0027
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch4,directive,4,0.0054
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch5,status_report,8,0.2286
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch5,commitment,2,0.0571
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch5,question,1,0.0286
new_exp_0_gemma_base/seed_1011,Gemma-E4B,ch5,acknowledgment,1,0.0286
new_exp_0_gemma_base/seed_1213,Gemma-E4B,ch1,commitment,42,0.0621
new_exp_0_gemma_base/seed_1213,Gemma-E4B,ch1,status_report,248,0.3669
new_exp_0_gemma_base/seed_1213,Gemma-E4B,ch1,question,5,0.0074
new_exp_0_gemma_base/seed_1213,Gemma-E4B,ch1,request,4,0.0059
new_exp_0_gemma_base/seed_1213,Gemma-E4B,ch1,directive,21,0.0311
new_exp_0_gemma_base/seed_1213,Gemma-E4B,ch1,acknowledgment,2,0.003
new_exp_0_gemma_base/seed_1213,Gemma-E4B,ch2,status_report,401,0.4252
new_exp_0_gemma_base/seed_1213,Gemma-E4B,ch2,directive,22,0.0233
new_exp_0_gemma_base/seed_1213,Gemma-E4B,ch2,commitment,30,0.0318
