run,label,chamber,category,n,frac
exp01_llm_2b/seed_1011,LLM-2B,ch1,status_report,167,0.213
exp01_llm_2b/seed_1011,LLM-2B,ch1,commitment,107,0.1365
exp01_llm_2b/seed_1011,LLM-2B,ch1,directive,262,0.3342
exp01_llm_2b/seed_1011,LLM-2B,ch1,question,2,0.0026
exp01_llm_2b/seed_1011,LLM-2B,ch1,request,9,0.0115
exp01_llm_2b/seed_1011,LLM-2B,ch1,acknowledgment,7,0.0089
exp01_llm_2b/seed_1011,LLM-2B,ch2,status_report,112,0.1321
exp01_llm_2b/seed_1011,LLM-2B,ch2,directive,257,0.3031
exp01_llm_2b/seed_1011,LLM-2B,ch2,commitment,82,0.0967
exp01_llm_2b/seed_1011,LLM-2B,ch2,request,12,0.0142
exp01_llm_2b/seed_1011,LLM-2B,ch2,question,3,0.0035
exp01_llm_2b/seed_1011,LLM-2B,ch2,acknowledgment,3,0.0035
exp01_llm_2b/seed_1011,LLM-2B,?,directive,100,0.3226
exp01_llm_2b/seed_1011,LLM-2B,?,status_report,51,0.1645
exp01_llm_2b/seed_1011,LLM-2B,?,commitment,33,0.1065
exp01_llm_2b/seed_1011,LLM-2B,?,request,3,0.0097
exp01_llm_2b/seed_1011,LLM-2B,?,question,3,0.0097
exp01_llm_2b/seed_1011,LLM-2B,ch3,directive,375,0.4407
exp01_llm_2b/seed_1011,LLM-2B,ch3,commitment,76,0.0893
exp01_llm_2b/seed_1011,LLM-2B,ch3,status_report,125,0.1469
exp01_llm_2b/seed_1011,LLM-2B,ch3,request,21,0.0247
exp01_llm_2b/seed_1011,LLM-2B,ch3,acknowledgment,3,0.0035
exp01_llm_2b/seed_1011,LLM-2B,ch3,question,2,0.0024
exp01_llm_2b/seed_1011,LLM-2B,ch4,directive,242,0.3591
exp01_llm_2b/seed_1011,LLM-2B,ch4,status_report,157,0.2329
exp01_llm_2b/seed_1011,LLM-2B,ch4,request,10,0.0148
exp01_llm_2b/seed_1011,LLM-2B,ch4,commitment,56,0.0831
exp01_llm_2b/seed_1011,LLM-2B,ch4,acknowledgment,1,0.0015
exp01_llm_2b/seed_1011,LLM-2B,ch4,question,3,0.0045
exp01_llm_2b/seed_1011,LLM-2B,ch5,commitment,2,0.4
exp01_llm_2b/seed_1011,LLM-2B,ch5,directive,2,0.4
exp01_llm_2b/seed_1011,LLM-2B,ch5,status_report,1,0.2
exp01_llm_2b/seed_1213,LLM-2B,ch1,directive,400,0.47
exp01_llm_2b/seed_1213,LLM-2B,ch1,status_report,126,0.1481
exp01_llm_2b/seed_1213,LLM-2B,ch1,request,18,0.0212
exp01_llm_2b/seed_1213,LLM-2B,ch1,question,6,0.0071
exp01_llm_2b/seed_1213,LLM-2B,ch1,commitment,24,0.0282
exp01_llm_2b/seed_1213,LLM-2B,ch1,acknowledgment,1,0.0012
exp01_llm_2b/seed_1213,LLM-2B,ch2,directive,347,0.5036
exp01_llm_2b/seed_1213,LLM-2B,ch2,status_report,70,0.1016
exp01_llm_2b/seed_1213,LLM-2B,ch2,commitment,31,0.045
exp01_llm_2b/seed_1213,LLM-2B,ch2,acknowledgment,7,0.0102
exp01_llm_2b/seed_1213,LLM-2B,ch2,request,15,0.0218
exp01_llm_2b/seed_1213,LLM-2B,ch2,question,1,0.0015
exp01_llm_2b/seed_1213,LLM-2B,?,directive,155,0.529
exp01_llm_2b/seed_1213,LLM-2B,?,status_report,31,0.1058
exp01_llm_2b/seed_1213,LLM-2B,?,question,2,0.0068
exp01_llm_2b/seed_1213,LLM-2B,?,commitment,17,0.058
exp01_llm_2b/seed_1213,LLM-2B,?,request,2,0.0068
exp01_llm_2b/seed_1213,LLM-2B,?,acknowledgment,4,0.0137
exp01_llm_2b/seed_1213,LLM-2B,ch3,directive,369,0.4398
exp01_llm_2b/seed_1213,LLM-2B,ch3,status_report,228,0.2718
exp01_llm_2b/seed_1213,LLM-2B,ch3,request,17,0.0203
exp01_llm_2b/seed_1213,LLM-2B,ch3,commitment,23,0.0274
exp01_llm_2b/seed_1213,LLM-2B,ch3,question,1,0.0012
exp01_llm_2b/seed_1213,LLM-2B,ch3,acknowledgment,3,0.0036
exp01_llm_2b/seed_1213,LLM-2B,ch4,status_report,164,0.2198
exp01_llm_2b/seed_1213,LLM-2B,ch4,directive,259,0.3472
exp01_llm_2b/seed_1213,LLM-2B,ch4,commitment,74,0.0992
