run,label,chamber,category,n,frac
pareto_e2b_base/seed_1011,Gemma-E2B,ch1,status_report,608,0.6901
pareto_e2b_base/seed_1011,Gemma-E2B,ch1,commitment,16,0.0182
pareto_e2b_base/seed_1011,Gemma-E2B,ch1,question,7,0.0079
pareto_e2b_base/seed_1011,Gemma-E2B,ch1,acknowledgment,1,0.0011
pareto_e2b_base/seed_1011,Gemma-E2B,ch1,request,1,0.0011
pareto_e2b_base/seed_1011,Gemma-E2B,ch2,status_report,349,0.455
pareto_e2b_base/seed_1011,Gemma-E2B,ch2,question,4,0.0052
pareto_e2b_base/seed_1011,Gemma-E2B,ch2,commitment,2,0.0026
pareto_e2b_base/seed_1011,Gemma-E2B,?,status_report,232,0.5537
pareto_e2b_base/seed_1011,Gemma-E2B,?,question,7,0.0167
pareto_e2b_base/seed_1011,Gemma-E2B,?,commitment,3,0.0072
pareto_e2b_base/seed_1011,Gemma-E2B,ch3,status_report,609,0.685
pareto_e2b_base/seed_1011,Gemma-E2B,ch3,request,20,0.0225
pareto_e2b_base/seed_1011,Gemma-E2B,ch3,commitment,8,0.009
pareto_e2b_base/seed_1011,Gemma-E2B,ch3,directive,5,0.0056
pareto_e2b_base/seed_1011,Gemma-E2B,ch3,question,18,0.0202
pareto_e2b_base/seed_1011,Gemma-E2B,ch4,commitment,6,0.0098
pareto_e2b_base/seed_1011,Gemma-E2B,ch4,status_report,401,0.6574
pareto_e2b_base/seed_1011,Gemma-E2B,ch4,request,1,0.0016
pareto_e2b_base/seed_1011,Gemma-E2B,ch4,question,8,0.0131
pareto_e2b_base/seed_1011,Gemma-E2B,ch5,status_report,100,0.6452
pareto_e2b_base/seed_1011,Gemma-E2B,ch5,commitment,1,0.0065
pareto_e2b_base/seed_1011,Gemma-E2B,ch5,question,5,0.0323
pareto_e2b_base/seed_1213,Gemma-E2B,ch1,status_report,561,0.631
pareto_e2b_base/seed_1213,Gemma-E2B,ch1,commitment,80,0.09
